IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01879	1	-0.043156	-0.0200548	0.0240798	0.00811812	-0.00182132	0.00927294	-0.00589794	0.0097815	-0.00167252	0.0126369
HG01880	2	-0.125851	-0.0628283	0.0376967	-0.00718633	-0.00443806	0.0269332	-0.0253227	-0.00151773	-0.000650731	-0.0138728
HG01882	1	0.0010555	0.0092829	0.0204282	0.0100457	-0.00967072	0.00121165	-0.0207066	0.0055368	-0.00130877	0.00676499
HG01883	2	-0.0348834	-0.0181673	0.0287461	0.0150366	0.00564846	0.00755682	-0.0132439	-0.000659822	-0.0127936	-0.00225243
HG01885	1	-0.00618362	0.0012839	0.0185591	0.00411348	-0.00702466	0.00667583	-0.0027244	-0.0106722	0.00977127	0.00455005
HG01886	2	-0.025305	-0.0112279	0.0230327	0.0213856	-0.00194423	0.0193616	-0.00301432	0.00406935	0.00509998	0.00193915
HG01889	2	0.00411572	0.00571914	0.0175389	0.0106899	-0.00467867	-0.00520677	0.0068443	-0.00315901	0.00154583	0.011276
HG01890	1	-0.0279483	-0.0131489	0.025605	0.00816148	-0.0123357	0.0145908	0.00223738	0.00682638	-0.0144804	-0.0161399
HG01894	2	-0.0141062	-0.00387181	0.0239844	0.0158929	0.00524871	-0.00499889	-0.0062809	0.000894791	-0.00890839	-0.014885
HG01896	2	0.00360819	0.00680496	0.0228931	0.0131316	-0.00419938	-0.00843814	0.00128842	-0.00102084	0.00304461	-0.000138999
HG01912	1	-0.0199383	-0.00653585	0.0216105	0.0102582	-0.00217348	0.0038777	0.00415396	-0.00934098	-0.00280993	-0.0191197
HG01914	1	-0.0397962	-0.0192212	0.0260544	0.0077853	0.00160325	0.00677566	-0.00190938	-0.00540386	-0.0017259	-0.000832141
HG01915	2	-0.00938688	-0.00521286	0.0221217	0.0209826	-0.00470843	0.0107573	-0.00479341	-0.00961109	-0.0039175	-0.000156768
HG01956	2	-0.0128691	0.00340728	0.0231583	0.0123146	-0.0066085	0.0015537	-0.00113598	-0.0111612	-0.00788108	-0.00197992
HG01958	2	-0.0363998	-0.0158694	0.0271861	0.00620008	-0.0162364	-0.0110798	-0.0146241	-0.00561654	-0.000432792	-0.00739492
HG01985	2	-0.0111199	-0.00650468	0.0178714	0.00959218	-0.00329338	0.00316313	0.00720333	-0.00257466	0.00431486	0.00133685
HG01986	1	-0.0316891	-0.0116577	0.028902	0.0103786	0.00270267	0.0073295	-0.0195611	-0.00465784	-0.00513712	-0.00567279
HG01988	1	-0.136166	-0.0766816	0.0402337	0.00483884	-2.79539e-05	0.0232248	-0.00222027	-0.0187974	-0.00458341	-0.0128474
HG01989	2	-0.0385128	-0.0177952	0.0275167	0.0168349	0.00378626	0.00553877	-0.00449314	-0.003885	-0.0043416	-0.0138057
HG01990	1	-0.00923511	-0.00682344	0.0212375	0.0110257	-0.00241882	0.00294476	0.00500389	-0.00337328	0.000301102	-0.0178593
HG02009	1	-0.0368066	-0.0192004	0.0329726	-0.000732654	-0.00947858	-5.04409e-05	-0.00565	0.00160746	-0.00888692	-0.0015355
HG02010	2	-0.0399704	-0.0192672	0.0286716	0.0091222	-0.00276953	0.00700644	-0.00745698	-0.00693897	-0.00908606	0.00966494
HG02012	2	-0.0081294	-0.00214219	0.0227877	0.00594738	0.0127444	-0.00334795	-0.00512732	-0.0073721	-0.0027547	-0.000906286
HG02013	1	0.00529196	0.0123413	0.0233242	0.0166976	-0.000950105	0.00114049	0.00125474	0.00182882	0.00662661	-0.00425406
HG02014	1	-0.0276651	-0.0160687	0.0218109	0.00896696	0.00630759	-0.00140003	-0.00177956	0.0142131	-0.00113153	-0.00323482
HG02051	1	0.00624879	0.0087567	0.0176175	0.00888511	-0.00494464	-0.00333462	-0.00504138	-0.00664493	0.00744509	0.0115888
HG02052	2	0.00577161	0.0089498	0.0224843	0.0108135	0.00602399	-0.00025806	0.00241529	-0.00193291	0.00219831	-0.0203211
HG02053	1	-0.00701674	-0.000525213	0.0177322	0.0111121	-0.00551944	0.00820162	-0.00526247	-0.00564157	0.00449175	-0.0013131
HG02054	2	-0.0293122	-0.012796	0.0260891	0.00885166	0.013134	0.00392718	-0.00206077	0.0099949	-0.00310525	-8.47513e-05
HG02095	2	-0.00402671	0.00127014	0.0260513	0.0152484	-0.0048246	-0.00666972	-0.00633793	0.000303781	-0.00413209	-0.00757617
HG02107	1	0.00465996	0.000293449	0.016666	0.0191488	-0.00459188	0.00511008	-0.000737381	-0.00602581	-0.00891611	-0.0142967
HG02108	2	-0.0428304	-0.0225475	0.0265473	0.0128501	-0.000115043	0.0262897	0.0217988	0.0122749	-0.00357403	-0.0180127
HG02111	2	-0.0119758	0.00172709	0.0257058	0.006048	-0.0056113	0.000888528	-0.0028058	0.00686014	-0.00144028	0.00306997
HG02143	1	-0.0495894	-0.0254191	0.028324	0.012527	9.28176e-05	0.0116638	-0.0111782	0.00466933	0.00662037	0.00101145
HG02144	2	-0.00460684	-0.00148772	0.0213158	0.00926879	0.00247305	0.000774217	-0.00460287	-0.000961047	0.00448658	0.00561586
HG02255	1	-0.0106267	-0.00049306	0.0246674	0.00276862	-0.00111381	0.00718802	0.00872122	0.000258997	-0.00283549	-0.0135444
HG02256	2	-0.0587781	-0.0295797	0.0314884	0.00623929	-0.019301	0.0233671	0.00262597	-0.0010012	0.00165399	-0.0163078
HG02281	1	0.00231412	0.00772669	0.0254026	0.0150971	0.00578672	-0.00131616	-0.00850838	0.00360776	-0.00677983	0.00221768
HG02282	2	-0.0534772	-0.0280245	0.029513	0.0115103	0.00771591	0.0113569	0.00314455	0.00373134	0.000363303	-0.0158875
HG02283	1	-0.056298	-0.0260729	0.030696	0.00783202	-0.00963656	0.0172602	-0.000238222	0.00144558	-0.00447306	-0.00626735
HG02284	1	-0.0397977	-0.0198715	0.0227878	0.00589336	-0.00493572	-0.00319221	0.0082727	-0.0253569	-0.00109989	-0.00555005
HG02307	1	-0.00463224	-0.00478615	0.0216409	0.00786576	-0.00235124	0.00456847	-4.49335e-05	-0.0021551	0.0059974	0.0101639
HG02308	2	-0.022656	-0.00576931	0.0286908	0.00360895	-0.0110099	0.0113177	-0.0157634	-0.000612689	0.00575753	-0.00274474
