IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	1	-0.0114112	0.0269306	0.0108618	-0.0189618	0.00087999	-0.00156569	-0.0132816	-0.000620899	0.00127708	0.0053035
HG00097	2	-0.0113358	0.0268757	0.0101098	-0.0184792	0.00284164	-0.000401198	-0.012585	-0.00202402	0.00165959	0.00381213
HG00099	2	-0.0114548	0.0269224	0.0109626	-0.0173603	0.00227063	-0.000629329	-0.0160007	4.45245e-05	-0.0053304	0.00857013
HG00100	2	-0.0112138	0.0271556	0.0107819	-0.0184512	0.000164625	0.000354521	-0.00623623	-0.00102524	-0.00214401	0.00671719
HG00101	1	-0.0113314	0.0265884	0.0110662	-0.018507	0.000409591	-0.00127631	-0.0140677	-0.00194554	-0.00231037	0.00642791
HG00102	2	-0.0115861	0.0269408	0.0103528	-0.0179456	0.00414592	-0.00125359	-0.0160894	-0.00179483	0.00259046	0.00727718
HG00103	1	-0.011323	0.0267549	0.0103322	-0.0191753	0.000514145	-0.000825295	-0.00916041	-0.000974719	-0.0090057	0.00824513
HG00105	1	-0.0112465	0.0267082	0.0110695	-0.0184227	0.000825954	-0.000723676	-0.0118432	-0.000778283	-0.0039495	0.00190438
HG00106	2	-0.0115591	0.0269922	0.00994883	-0.0178965	-0.00232382	-0.00175746	-0.0125667	0.00129121	-0.00375454	0.00390961
HG00107	1	-0.0115027	0.0265072	0.0115673	-0.0180578	0.00102697	0.000336816	-0.0143265	-0.00220617	-0.000845351	0.00653608
HG00108	1	-0.0111592	0.0269493	0.0107382	-0.0185845	-4.15863e-05	-0.00189049	-0.01545	-0.00231596	-0.00232259	0.00538469
HG00109	1	-0.0114671	0.0269757	0.0109293	-0.0207684	0.000362905	0.00061732	-0.0103335	-0.000654447	-0.00509465	0.00663657
HG00110	2	-0.0115382	0.0265341	0.010254	-0.0186201	0.00254268	-0.00207865	-0.0144129	0.000298247	-0.00402948	0.00661853
HG00111	2	-0.0113352	0.0268834	0.0102334	-0.0170537	0.00250692	-0.000404061	-0.0165969	-0.00283837	-0.00013541	0.00688654
