IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00551	2	0.0490662	0.0184151	-0.0555439	-0.00640294	-0.0291239	0.112875	-0.00125318	-0.0689089	0.0379768	0.075226
HG00553	1	0.0447612	-0.0577512	-0.0470967	-0.00419544	-0.000117733	0.016796	0.0605545	-0.0154687	-0.00514203	-0.0173091
HG00554	2	0.052716	0.018791	-0.0672905	-0.00880713	-0.0476229	0.0715282	-0.0268444	-0.00477743	-0.132213	0.0651351
HG00637	1	0.052709	-0.0363564	-0.0445025	-0.00612822	-0.00344084	0.0841046	-0.00555591	0.0201731	0.0567436	0.0437247
HG00638	2	0.0488463	-0.037557	-0.0308577	-0.00191788	-0.0534599	0.151255	0.0170379	0.000372465	0.0188387	-0.0373541
HG00640	1	0.0551527	0.0215525	-0.0750523	-0.0139099	-0.0176107	0.0476361	0.0595355	-0.101563	0.0861666	0.0287381
HG00641	2	0.0460575	0.00960657	-0.102678	-0.0038496	0.107961	-0.110877	-0.0197439	9.04156e-05	0.0397487	-0.00401326
HG00731	1	0.060281	0.0609131	-0.0647596	-0.00603684	-0.0480412	0.0476676	0.0346898	-0.067172	-0.0109441	0.0303022
HG00732	2	0.0521931	0.0356837	-0.0711242	0.00353775	-0.0188192	0.0505354	0.0842938	-0.0875854	-0.0368654	0.0461051
HG00734	2	0.0408403	-0.00252199	-0.076022	-0.0158715	0.0307147	0.037222	0.0687019	-0.0920122	0.0223485	-0.0483074
HG00736	1	0.0540877	0.0362371	-0.0836406	0.00297762	0.0268909	-0.0726095	-0.0688833	0.110207	0.0040302	0.0406768
HG00737	2	0.0552161	0.0233477	-0.0482139	0.00706115	0.00914297	0.0175869	-0.00331879	0.0139004	0.0389208	0.0131771
HG00739	1	0.0601235	0.0469186	-0.0357516	0.00209716	-0.0329238	-0.0396518	-0.0776799	-0.00324769	-0.0145586	0.0198591
HG00740	2	0.0493033	-0.00100959	-0.0591524	-0.00285352	0.0255672	-0.0259745	-0.0217759	0.0188778	-0.00481269	0.0622219
HG00742	1	0.0642839	0.0445629	-0.0760249	-0.00504777	-0.0120215	0.0417025	-0.00613541	-0.0411417	0.00227754	0.0315249
HG00743	2	0.0355202	-0.000976419	-0.0841298	-0.010762	0.102262	-0.108592	0.0573263	-0.00222736	0.052345	-0.0203431
HG01047	1	0.0570953	0.0201073	-0.0557963	0.00214841	-0.0697834	0.0522269	0.0230067	-0.082978	0.0146977	0.0153611
HG01048	1	0.0495701	-0.000424476	-0.0696801	0.00608066	-0.0140894	0.0458494	-0.0147495	0.00507074	-0.0737312	-0.0430565
HG01049	2	0.052685	-0.0794619	-0.0263901	0.000220043	0.0183257	-0.0964472	-0.0584864	0.0362546	-0.0522879	0.00350387
HG01051	1	0.0437051	-0.0693158	-0.0476519	-0.0104492	-0.0251817	-0.0271513	-0.00177252	0.0394481	-0.152829	0.0469518
HG01052	2	0.0448236	-0.0721211	-0.0374268	-0.0143316	-0.0360082	0.104542	-0.0228562	-0.0212681	0.0154158	0.070476
HG01054	1	0.0462338	0.0256662	-0.110465	-0.0160827	0.0655076	-0.0207477	0.0250438	-0.01955	-0.0198972	0.0144987
HG01055	2	0.0571813	-0.00701773	-0.0730137	-0.0100245	0.0546189	-0.0450515	0.02778	-0.0375259	-0.0454658	0.0359127
HG01058	2	0.0473102	-0.0152792	-0.0621032	-0.00968403	0.0537608	-0.0778752	-0.0018745	0.0423047	0.0114659	-0.0433122
HG01060	1	0.0536876	0.0148784	-0.0801563	0.00183825	0.0371314	-0.0716615	0.0374963	-0.0183801	0.00453083	-0.0166201
HG01061	2	0.0504833	0.0216043	-0.100944	-0.0185196	0.0714916	-0.0420924	-0.00164442	-0.0153423	-0.0575592	0.00437618
HG01063	1	0.0577203	-0.161475	-0.000941731	0.0129047	0.076215	-0.0644335	-0.127437	0.168026	-0.111657	0.00355696
HG01064	2	0.0555793	-0.0327783	-0.0755292	-0.00589082	0.0461151	-0.0561899	-0.0219765	0.0385458	-0.13165	0.0202048
HG01066	1	0.0511848	0.0287255	-0.0734499	-0.000616781	0.0343639	-0.0773977	0.0147792	-0.0361586	-0.0107533	-0.0400953
HG01067	2	0.0505721	0.0117216	-0.107171	-0.0110375	0.102779	-0.105959	-0.010213	0.0874636	-0.0484096	-0.0580558
HG01069	1	0.046969	0.0091034	-0.085699	-0.00172392	0.105208	-0.116717	-0.00998425	-0.0229622	0.0282647	-0.030884
HG01070	2	0.0485674	0.0357919	-0.0861126	-0.0127667	0.0702387	-0.101222	0.0359163	-0.0222258	-0.0642464	-0.0255665
HG01072	1	0.0507123	0.0177458	-0.105189	0.00393972	0.109095	-0.147296	0.0253455	0.0561361	-0.0418763	-0.0288395
HG01073	2	0.0483184	0.0183333	-0.0920895	-0.0168764	0.0652728	-0.100928	-0.0364398	-0.103088	-0.0444116	-0.0104209
HG01075	1	0.0635767	0.0261938	-0.0164836	-0.00407695	-0.0771855	0.0215518	-0.0205219	-0.0545159	0.0932842	-0.0143725
HG01077	2	0.0433388	-0.0612928	-0.0360455	-0.00588469	-0.0135258	0.126982	0.0185111	0.0893153	0.079145	0.0559861
HG01079	1	0.0520351	-0.0412132	-0.0312601	0.0069763	-0.00792366	0.0386126	-0.0101038	-0.0821334	0.118276	-0.0149006
HG01080	2	0.0381293	0.0103506	-0.0599245	-0.00867233	-0.00753274	0.123086	0.0863354	0.0618443	0.00370559	-0.0348692
HG01082	1	0.0494596	-0.0665251	-0.0264715	-0.00696547	-0.0310292	0.0909949	-0.00604232	0.0237991	0.106625	0.0241587
