IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00403	1	0.00131184	0.0386903	0.0164608	0.00181926	-0.00728935	-0.00807983	-0.00566637	0.0229501	-0.0486691	0.0195986
HG00404	2	-0.000337583	0.0396371	-0.0077396	-0.000856041	0.00599832	0.0142428	-0.0619381	0.0141135	0.00173993	-0.0192467
HG00406	1	0.00382203	0.0409355	-0.0150067	-0.0119146	0.00522812	0.00210278	-0.0232198	0.0130303	-0.0413319	0.020178
HG00407	2	0.00218671	0.0323685	0.00497334	-0.00425628	0.00569505	-0.00687594	-0.0478828	0.0324932	0.000145687	0.00752584
HG00409	1	-0.00037881	0.0454404	0.0231372	0.0244368	0.00813403	0.0402465	0.0045764	0.00928847	-0.0277431	-0.00695487
HG00410	2	-0.000373934	0.0420657	0.00777333	0.00462435	-0.00092237	-0.00436351	0.0263074	0.0486049	-0.0107231	0.00400577
HG00419	2	0.00324511	0.0444976	0.0131495	-0.0350129	0.0346638	-0.0159909	-0.0191379	-0.0183325	0.0292287	0.0172483
HG00421	1	-0.00156555	0.0406682	-0.00396824	-0.0107742	-0.00946749	-0.00631932	-0.0370046	0.0243129	-0.00200489	0.0200655
HG00422	2	0.00134334	0.0391231	0.00936911	0.0192911	0.0357437	0.0223875	0.0176799	-0.0891033	0.0292291	0.0419798
HG00428	2	0.00299575	0.0486014	-0.000515552	-0.00269945	-0.00685979	0.00641905	0.000792315	0.0420425	-0.00736337	0.0306804
HG00436	1	0.00338992	0.0392858	0.0072586	0.018367	-0.0135134	0.0174829	-0.026396	0.0303314	-0.00580636	0.0455513
HG00437	2	-0.00196082	0.0427544	0.0110188	0.0157998	0.0095157	0.00796186	-0.03548	0.0141294	0.0149623	-0.013069
HG00442	1	0.00618712	0.0347425	0.0217631	-0.0101762	0.0181861	-0.0132092	0.0314302	0.052016	-0.00776072	-0.00401119
HG00443	2	0.0044412	0.0417551	0.00791772	0.00588572	-0.00438056	-0.0115113	-0.0402489	-0.0066377	-0.0287509	0.00786434
HG00445	1	0.000973738	0.0381353	-0.0135617	0.00784193	-0.00753322	-0.00850555	-0.0291394	-0.00443809	-0.0235522	0.0122221
HG00446	2	-0.000284621	0.0402376	-0.0041324	0.00977395	-0.0129882	0.020861	0.020431	0.0234166	-0.00352183	-0.0370596
HG00448	1	0.00128269	0.0423597	0.0151503	0.00852085	-0.0178715	-0.0383625	-0.0327684	0.0366478	-0.0334259	-0.0545047
HG00449	2	0.00202067	0.0395717	0.0106501	0.00252796	0.0237004	0.00173262	-0.0508997	-0.0379732	-0.0524008	0.0141125
HG00451	1	-0.00271141	0.046629	0.0102643	0.0147694	-0.0171142	-0.00414017	0.00229857	0.0412434	0.0195481	0.0292238
HG00452	2	1.53315e-05	0.0413719	0.0154599	-0.0102445	-0.00681972	-0.0165912	0.00828256	0.0260969	0.006312	0.0319475
HG00457	1	0.00233945	0.0443396	0.0314233	-0.0400482	0.0150503	-0.0105206	-0.0195173	-0.0364483	-0.0107881	0.0108022
HG00458	2	0.000252807	0.0499248	0.0138892	0.00702586	-0.00320555	-0.0131797	-0.0151608	-0.0109356	-0.0515877	-0.00335137
HG00463	1	-1.45885e-05	0.0373492	0.000559058	-0.0590006	0.0147734	0.0218703	-0.00635813	0.00928073	0.0164668	-0.0470449
HG00464	2	0.000394113	0.041646	0.0113354	0.00243682	-0.00203787	0.00271441	0.00281072	0.0403566	-0.00151622	0.0171235
HG00472	1	0.00204498	0.0486118	0.0128749	-0.00680306	0.00634719	-0.0360133	-0.00928309	-0.0312089	0.0134361	5.77749e-05
HG00473	2	0.000130767	0.042553	0.0113341	0.00512347	0.00215594	0.00700438	-0.0208726	0.0152346	-0.0524405	0.00495565
HG00475	1	-0.00487275	0.0567889	-0.00903325	-0.623758	-0.0788109	0.0381408	0.0597812	-0.0484013	0.0462413	-0.0179196
HG00476	2	0.000388969	0.0429639	0.0302121	0.0423741	0.00878067	0.01162	-0.0575325	-0.00994211	-0.00918414	-0.0417678
HG00478	1	0.000770017	0.0465354	-0.00144138	-0.00773364	0.0220747	0.00594473	-0.0285102	0.0140235	-0.0649601	-0.00199407
HG00479	2	0.000813285	0.0425171	0.0039973	0.0285847	0.0412914	0.035487	-0.0510098	0.0209998	-0.0223999	-0.0330884
HG00500	1	-0.00569222	0.0537226	-0.017707	-0.249388	-0.0309319	0.0317948	-0.0276494	-0.0050455	0.0236493	-0.0230636
HG00513	2	0.00476455	0.0382869	0.00715143	0.0137513	0.00309255	0.0366309	-0.0348424	-0.0154079	-0.0549708	-0.0125802
HG00524	1	0.0019157	0.0451681	0.0144984	-0.0294196	0.0438241	0.0173588	-0.0324349	0.00567196	-0.0212688	-0.0302396
HG00525	2	-0.002963	0.0460366	-0.0101167	-0.0258479	-0.010852	-0.0207249	-0.0355453	-0.0413358	-0.0307796	-0.0101316
HG00530	1	0.000744522	0.0491671	0.0118672	-0.0130281	0.0307242	-0.0220149	-0.0220257	-0.0116694	0.0282018	0.0486535
HG00531	2	0.00639718	0.0398457	0.00912425	0.00236025	-0.00978858	-0.015775	-0.0503646	0.0298551	-0.0169962	-0.00255562
HG00533	1	-9.06911e-05	0.0410549	-0.00156401	-0.00588556	0.0276293	-0.0137832	-0.0127182	-0.00663256	-0.0376406	0.0434993
HG00534	2	0.000368286	0.0455621	0.00958583	-0.00404008	-0.00269845	0.00282757	-0.0115754	-0.0184079	-0.0365195	-0.00245608
HG00536	1	0.00364386	0.0455113	0.00680461	-0.0731423	-0.00846379	0.037654	-0.0170498	0.0339426	-0.0219863	0.0269578
HG00537	2	-0.00401847	0.0459772	-0.00600771	-0.0104823	0.0202596	0.03682	-0.0470812	0.030753	0.00372561	0.0172687
HG00542	1	0.000455135	0.0528777	-0.0076629	-0.604768	-0.0955054	0.0237	0.0455514	-0.0304858	0.0292827	-0.0327261
HG00543	2	0.0061466	0.0349324	-0.0261888	-0.00748648	0.0090678	-0.0248059	-0.0131	-0.0362466	-0.0166157	0.0197679
HG00556	1	-0.00245642	0.0474222	-0.00757985	-0.00186591	0.0653403	-0.0164322	-0.0336298	0.0184368	0.0380233	0.0588781
HG00557	2	-0.00335375	0.0498528	0.00944725	-0.00828063	0.0515468	0.0290215	-0.0372364	-0.0117665	-0.0340931	0.0259084
HG00559	1	-0.0112155	0.0320971	0.0125792	0.00766552	0.00887607	-0.00829802	-0.0548486	0.0219011	-0.013116	0.036204
HG00560	2	-0.00304863	0.045712	-0.006913	0.0114598	0.00013563	0.00795986	-0.0356339	-0.0178668	-0.0046317	0.0345018
HG00565	1	-0.00360189	0.0494501	0.0130593	0.00669627	-0.0233132	0.0298086	-0.0870772	0.0240926	0.0235744	0.0281394
HG00566	2	-0.00233398	0.0512322	-0.0158061	0.00924027	0.0108705	0.0204618	-0.0566449	-0.026517	0.0379606	0.0839038
HG00580	1	-0.00416535	0.0493975	-0.00472444	-0.0122237	0.000536444	0.0324654	-0.0409262	0.00440264	-0.00122168	0.000507328
HG00581	2	-0.00557452	0.0551245	0.0148364	0.0109735	0.0208572	0.0207336	-0.203037	-0.0210703	0.134775	0.282056
HG00583	1	0.0119073	0.0272021	0.00520372	0.00654567	0.0230485	0.0409363	-0.0779187	-0.0542266	0.0117146	0.028312
HG00584	2	-0.00576838	0.0535231	0.0166491	0.0145106	0.010093	0.0339258	-0.27622	0.0159346	0.173135	0.0230916
HG00589	1	-0.00119976	0.0421888	-0.000406638	0.00615438	-0.00603148	0.0250814	-0.028987	-0.0280026	-0.00926563	0.0606786
HG00590	2	0.00556768	0.0307663	-0.00969492	0.0077419	0.0191858	-0.0234112	-0.00766844	0.010038	0.0301041	-0.0098601
HG00592	1	-0.0292404	0.0763923	0.0136381	0.0503092	0.00879745	-0.0371396	0.0243365	0.0532911	0.0147131	-0.0183468
HG00593	2	-0.00327195	0.0493417	0.0112975	-0.000535581	-0.0148018	0.0367748	-0.033395	-0.0105358	-0.0261814	0.011899
HG00595	1	-0.00359288	0.0482097	0.00899722	0.0293046	-0.016635	0.0461493	-0.270567	0.0362307	0.188742	0.00375477
HG00596	2	-0.00542677	0.042607	0.00600513	0.00926719	0.00780111	0.00278941	-0.0581667	-0.0292595	-0.0184181	0.0220972
HG00598	1	0.00222368	0.0442219	0.00535128	0.010683	0.0312466	0.0247129	-0.0946406	-0.0184082	0.031923	0.00223764
HG00599	2	-0.010284	0.0526209	0.0166529	-0.00378921	-0.00287579	0.000621903	-0.00432635	0.0468797	-0.0299231	0.0125448
HG00607	1	-0.00335379	0.0536288	0.00786074	0.0126276	-0.00161261	0.0162538	-0.204406	-0.000383321	0.127013	0.238179
HG00608	2	-0.00104075	0.0457546	0.0111487	-0.0136332	0.0165681	0.00756943	-0.0628665	0.0196468	0.0102343	0.011686
HG00610	1	-0.00500645	0.0455021	-0.0108173	0.00276608	0.0511789	-0.0230324	-0.063188	-0.0253018	-0.0022717	-0.049941
HG00611	2	-0.0038524	0.0494928	-0.00316219	-0.0102089	-0.0203022	0.0309777	-0.0436203	-0.0417785	-0.0458427	0.0173034
HG00613	1	-0.00113773	0.0473045	0.00167335	-0.00755629	0.0137037	0.00279617	-0.0635176	-0.0143171	-0.0103015	0.00885878
HG00614	2	-0.00346445	0.0535221	0.00390801	0.010242	-0.00883638	0.0129643	-0.00125493	-0.00564943	-0.0254767	0.0204096
HG00619	1	-0.00149631	0.052417	0.00830096	0.00694964	0.0296913	0.0263489	-0.0805226	0.0204083	-0.0120951	0.0177357
HG00620	2	0.00152993	0.0491244	-0.0128339	0.00565255	-0.00399271	-0.00634291	-0.0897626	-0.00076699	0.0363092	0.0130163
HG00622	1	0.000412156	0.0478386	0.0092333	-0.00347311	-0.00311927	0.02479	-0.0183722	0.00996466	-0.0481867	0.0257993
HG00623	2	-0.00232672	0.0563154	-0.00238238	0.00246515	0.0350782	-0.00014401	-0.0870518	-0.00416122	0.0299049	0.0668563
HG00625	1	0.0106607	0.0298805	-0.0224358	0.00709668	-0.00918507	0.00434865	-0.0104851	-0.0145746	-0.0283873	0.00575446
HG00626	2	-0.00335254	0.0483651	-0.00897132	0.00719379	-0.0184705	-0.00231958	-0.0935347	0.0154308	-0.0143539	-0.00744082
HG00628	1	0.000259965	0.0464847	0.00119674	-0.00407197	0.00498808	0.021205	-0.0574346	-0.0156924	-0.0251392	0.0657136
HG00629	2	-0.00169552	0.0508851	0.0175334	0.0194877	0.00731003	0.0163645	-0.0658221	-0.0235532	-0.00672937	0.0337012
HG00631	1	-0.00381121	0.05556	-0.00117189	0.01722	0.0225743	0.00169218	-0.0489763	0.0203963	0.027746	-0.00815222
HG00632	2	-0.0029328	0.0470189	0.012981	-0.000932428	0.0227419	0.00349754	-0.0374026	0.0347075	0.00186516	0.0499411
HG00634	1	-0.00368925	0.0554385	-0.00278895	0.0217292	0.00755737	0.0254535	-0.0697118	-0.0173011	0.0087307	0.0557544
HG00650	1	0.0189109	0.0211266	0.00564471	-0.0359838	0.00706941	0.030336	-0.0506144	0.0203374	-0.0580248	0.0231452
HG00651	2	0.0160443	0.0231431	0.0208719	-0.0145073	-0.0162976	0.000304152	-0.00641035	0.0231685	0.0196197	0.0233164
HG00653	1	0.0167158	0.0245111	0.0136899	0.0109919	0.0359145	0.0373619	-0.051758	0.0166019	-0.00305612	-0.00360377
HG00654	2	0.0119864	0.029163	0.0187148	-0.00621758	0.0253201	0.00249408	0.00648795	-0.0278908	-0.0393008	0.0170519
HG00656	1	0.0174898	0.018542	-0.00160026	-0.0334633	0.00448845	0.00213189	-0.0329624	0.0135534	0.0144544	-0.00708207
HG00657	2	0.0133906	0.0279694	0.0101789	0.0119654	-0.00452181	0.0312381	-0.0530372	-0.00247243	-0.0101137	0.0145751
HG00662	1	0.0122962	0.0307177	0.0115398	-0.0172539	-0.00129475	0.0256492	-0.0440561	-0.014159	-0.0272818	0.0421935
HG00663	2	0.0184994	0.0263241	0.00549533	-0.0199373	0.000709052	0.0189943	-0.00389684	-0.0199546	-0.00893367	0.0262545
HG00671	1	0.0147551	0.0214846	0.0114234	-0.0242044	0.0238991	0.0144748	-0.0432023	-0.011258	-0.0059972	0.0153504
HG00672	2	0.0159595	0.0234571	0.0143765	-0.00441736	0.0139647	0.0372878	-0.0203782	-0.000293369	-0.0120652	0.0316533
HG00674	1	0.0148414	0.0223203	0.00908436	-0.0106084	0.00730196	0.0387342	-0.0154776	0.016141	-0.0268658	-0.0176644
HG00675	2	0.013386	0.0332539	-0.0093393	-0.0193412	-0.0256819	0.0246068	-0.0348552	0.00986039	-0.0281716	0.0363871
HG00683	1	0.0130329	0.018072	-0.00679843	-0.0191426	-0.0184868	0.0108835	-0.0183076	0.0211634	-0.0638619	0.0230154
HG00684	2	0.0128487	0.0260023	0.00175175	0.00912211	-0.0222616	-0.0065525	-0.0567427	0.0493758	0.00541417	0.0302562
HG00689	1	0.0128752	0.0297527	-0.0150549	-0.0566066	0.00462576	-0.00845951	-0.0905779	-0.00744637	-0.0383003	0.0221792
HG00690	2	0.0189653	0.0231408	-0.0112997	0.0199992	0.00523438	0.00833814	-0.0224707	0.0359651	-0.022828	-0.00560506
HG00692	1	0.0174074	0.0269467	-0.0128764	-0.0140177	0.0112753	-0.000806182	-0.0133158	0.00312032	-0.0170583	0.0211234
HG00693	2	0.0122771	0.0255794	0.000519757	-0.023195	0.0167046	0.0126882	-0.0377834	0.0137762	-0.0479601	0.0226754
HG00698	1	0.0166419	0.020256	0.00939867	-0.0149246	0.0395907	0.0460064	-0.0727661	0.00863284	-0.0355148	0.0572795
HG00699	2	0.0104467	0.033218	0.0108748	-0.018958	0.0136102	0.000113801	0.0267498	-0.0187669	0.00928763	0.0334654
HG00701	1	0.0105841	0.033553	-0.00839605	-0.0148541	-0.000225767	-0.00365326	-0.043224	-0.0138913	-0.0072387	0.029449
HG00704	1	0.0143272	0.0236172	0.00413968	-0.0212514	0.00892101	-0.00622869	-0.0273954	0.0104216	-0.015769	-0.00507276
HG00705	2	0.0133381	0.0302073	-0.00180999	0.000449367	0.0099215	0.0343399	-0.0441066	0.0215073	-0.0285006	-0.0129687
HG00707	1	0.0156218	0.0222309	0.0275143	0.0028955	0.0460229	0.0141751	-0.00378125	-0.025198	0.0242997	0.00629809
HG00708	2	0.0124053	0.0263316	0.00207824	-0.0419829	-0.0107319	-0.00177765	-0.0698241	0.00109767	-0.0551596	0.0368356
HG00717	2	0.0154085	0.0269956	-0.000442043	0.00866612	0.0266816	-0.00101634	-0.0530102	-0.0438305	0.046836	-0.0422253
HG00728	1	0.0189423	0.0167775	0.0332038	-0.0262925	0.0285763	0.0244376	-0.00877425	-0.00594264	0.026395	0.017554
