IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00096	1	0.00146673	-0.0702368	-0.0261321	-0.0647823	-0.00276993	-0.08944	-0.0616942	-0.0426663	-0.0245198	-0.0310416
HG00097	2	0.00343503	-0.0682782	-0.0172732	-0.0473252	0.0268631	-0.0653383	-0.031837	0.0152011	-0.089194	-0.0466285
HG00099	2	0.00655627	-0.0712672	-0.0297587	-0.0518668	-0.0360757	-0.0361109	-0.0327222	-0.0385244	-0.0418286	-0.039224
HG00100	2	-0.00336188	-0.0758734	-0.0278942	-0.122633	-0.0213726	-0.115515	-0.0409849	-0.0255155	-0.0554508	-0.0226859
HG00101	1	0.00299849	-0.0814323	-0.0393352	-0.128054	0.017813	-0.0309217	-0.0316459	0.0112815	-0.0414566	-0.0783008
HG00102	2	0.00622609	-0.0825081	-0.0158471	-0.111149	-0.0252229	-0.090516	0.0317255	0.106845	0.0443234	0.0137547
HG00103	1	-0.00106541	-0.0587213	-0.010404	0.0122398	-0.00777351	-0.000983204	0.0306255	0.0249209	0.0485233	-0.113082
HG00105	1	0.00232398	-0.0634262	0.00320248	0.014187	0.00675167	0.00882607	-0.0082308	-0.00554749	-0.0530716	-0.0522711
HG00106	2	0.000549229	-0.0676423	-0.010846	-0.00838809	0.014525	-0.0197861	0.0087776	-0.0323809	0.0615281	-0.129455
HG00107	1	0.00495507	-0.0678149	-0.0425204	-0.0870952	0.0263861	-0.0999924	-0.0664611	-0.00790239	0.0438153	-0.0316595
HG00108	1	0.00545666	-0.0723109	-0.0216723	-0.0823787	0.00876586	-0.0914105	0.0404737	0.0131501	-0.00701104	-0.0216895
HG00109	1	-0.00123585	-0.0703198	-0.0180508	-0.0777596	-0.043154	-0.0479053	-0.0160599	-0.00237712	0.0598891	-0.032122
HG00110	2	0.00508083	-0.0771759	-0.0278263	-0.0703546	0.010322	-0.0989369	-0.0357488	-0.0280325	-0.00561791	-0.0592664
HG00111	2	0.00650033	-0.0787377	-0.0329125	-0.136436	-0.0290783	-0.0450796	0.00580047	-0.00943206	-0.0418337	-0.0520485
HG00112	1	0.00496502	-0.0833863	-0.0453177	-0.161849	0.0192565	-0.396137	0.0632977	-0.0144161	0.0169973	0.142081
HG00113	1	0.000316798	-0.0723589	-0.00757964	-0.112364	-0.00295924	-0.123901	0.039276	0.0401937	0.0402646	0.0605237
HG00114	1	0.00390983	-0.0708657	-0.0180498	-0.158647	0.0243221	0.0203834	-0.0522764	-0.0190991	-0.000190896	-0.0346781
HG00115	1	-0.000155852	-0.0634412	-0.0131864	-0.174232	-0.0371459	0.0130723	0.0164398	-0.0646442	-0.0504654	-0.0300262
HG00116	1	0.00396731	-0.0889873	-0.0458558	-0.50511	-0.153397	0.295639	0.00361005	-0.0418311	0.0287418	0.0256441
HG00117	1	0.00617786	-0.0680434	-0.0104142	-0.0750533	0.0319906	-0.0183539	0.0874449	0.0490194	0.0284687	-0.0436602
HG00118	2	-0.000397971	-0.0773183	-0.0286178	-0.0686337	0.0084819	-0.0753704	-0.0793851	0.0372384	0.047663	-0.114983
HG00119	1	0.00257903	-0.0770741	-0.00953931	-0.0618157	0.0295378	-0.135204	-0.039377	-0.0133011	-0.0531328	0.0990905
