IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01583	1	-0.0446152	0.0499674	-0.00850654	0.010814	0.0314246	-0.00185234	0.0103468	-0.00227925	-0.00970835	-0.0118625
HG01586	1	-0.0487441	0.0531086	-0.0243928	-0.00284674	0.0339088	0.0113791	0.00342446	-0.0110698	-0.00100224	-0.00374129
HG01589	1	-0.057745	0.0565835	-0.0111911	0.000757555	0.0352221	0.0101882	-0.00392239	-0.00689763	-0.000510977	-0.0184469
HG01593	2	-0.0760962	0.0779049	-0.0317282	0.00522296	0.0464497	0.0138084	-0.0092713	0.0135248	0.0261743	-0.0344279
HG02490	1	-0.0560678	0.0648043	-0.0279857	0.00956294	0.0373247	0.00195775	-2.68597e-05	-0.0123957	-0.018152	-0.00381466
HG02491	2	-0.0320983	0.0625539	0.0342885	0.0432962	0.0204027	0.0144963	-0.00210584	0.0114705	-0.00449678	0.01533
HG02493	1	-0.0550108	0.0641103	-0.0253214	0.00980015	0.0452727	0.016176	-0.0167881	0.011197	0.0205884	-0.0339842
HG02494	2	-0.0627038	0.0689224	-0.0222765	0.0125113	0.0445394	0.00705627	-0.00314927	-0.00823468	-0.0193718	-0.0272641
HG02597	1	-0.0710827	0.076717	-0.0268714	0.0042859	0.0442739	0.0105973	-0.0099585	0.00983651	0.0273287	-0.0148636
HG02600	1	-0.0107523	0.0229797	-0.0019983	0.00212509	0.0180929	-0.00441153	0.0148314	-0.00602759	-0.0198725	-0.016709
HG02601	2	-0.0189485	0.0258895	-0.00736539	-0.0036105	0.0207478	-0.00377428	0.00181504	-0.00465183	-0.0117434	-0.00697256
HG02603	1	-0.0521056	0.0533259	-0.00991511	0.0147172	0.0378962	-0.00280645	0.0037486	-0.00696383	0.0114507	-0.00955836
HG02604	2	-0.0693804	0.080179	-0.0325259	0.0126408	0.0383568	0.00481761	-0.00124246	0.00219287	-0.0205811	-0.0271203
HG02648	1	-0.0822777	0.0842017	-0.0356786	0.0153832	0.0656355	0.0153375	-0.00691873	-0.013373	-0.0123533	-0.0189369
HG02649	2	-0.0853428	0.0874387	-0.0311392	0.00843483	0.0709468	0.00771008	-0.00764395	-0.0108831	-0.0216283	-0.0444369
HG02651	1	-0.041661	0.0573754	-0.0152617	0.0136332	0.0301635	0.00676191	0.0127671	-0.00550264	-0.00771698	-0.00449811
HG02652	2	-0.0448248	0.0548228	-0.0178585	0.00997019	0.0322957	0.00992672	0.0118659	-0.0116666	-0.0107309	0.00299408
HG02654	1	-0.074687	0.0817062	-0.0280453	0.0148889	0.0505657	0.00242384	-0.0021466	0.00747355	-0.00685071	0.0284444
HG02655	2	-0.0823662	0.0867361	-0.0331054	0.00447913	0.05278	0.0142099	0.00982154	0.00105921	-0.00708148	0.0199182
HG02657	1	-0.035854	0.0369276	-0.0167319	0.00451434	0.0337083	-0.00449163	0.00451937	-0.0221569	-0.0144539	0.229995
HG02658	2	-0.0430114	0.0484057	-0.0210446	0.00416408	0.0476639	-0.0145418	0.00794184	-0.0406573	-0.011778	0.345249
HG02660	1	-0.0465687	0.0583396	-0.00908681	0.0150905	0.0354969	0.00266378	0.00457895	-0.00884451	-0.0105485	0.00226217
HG02661	2	-0.0368492	0.0484851	-0.00928766	0.00877684	0.0391335	-0.00733209	0.00488119	-0.0084165	-0.00309862	0.00997603
HG02681	1	-0.0631872	0.0824122	-0.0271829	0.0182849	0.0589844	0.0147818	-0.00591023	-0.00828988	-0.0361809	-0.0022663
HG02682	2	-0.0693257	0.0798797	-0.0370118	0.0105139	0.0641751	0.0147807	0.00194685	-0.014131	-0.0299001	-0.00513099
HG02684	1	0.00732473	0.0496874	0.0951076	0.0804336	-0.00386103	0.0323062	-0.0224136	0.00883929	0.0144244	0.0399205
HG02685	2	0.0126372	0.0493788	0.0935735	0.0742621	-0.0168453	0.0238991	-0.0349771	0.0146079	0.0137097	0.0172194
HG02687	1	0.0324513	0.0437837	0.132098	0.0933591	-0.0247036	0.033687	-0.0481895	0.0303046	0.0310194	0.0249728
HG02688	2	0.022445	0.0394638	0.116436	0.0707581	-0.0156217	0.0418976	-0.0205037	0.0206093	0.0139922	-0.00561527
HG02690	1	-0.0805313	0.105225	-0.0576866	0.0133679	0.0927084	0.00324073	-0.0219258	0.00492735	0.0183954	0.269623
HG02691	2	-0.0798014	0.0999319	-0.051003	0.0154662	0.087581	0.0118504	-0.0217327	0.00441133	0.00857169	0.221996
HG02694	2	-0.0876276	0.0961791	-0.0455492	0.0116738	0.0806694	0.0178969	-0.0155248	0.0160241	0.0176598	0.129382
HG02696	1	-0.0323983	0.0314129	-0.00859643	0.000675654	0.0178937	-0.00435691	0.0138742	-0.00657464	-0.022812	-0.0149293
HG02697	2	-0.0573206	0.062224	-0.0204999	0.0124653	0.0419979	0.00687422	0.00326783	-0.0175294	-0.0137817	-0.0101399
HG02699	1	-0.0706392	0.0820589	-0.0249576	0.0133505	0.0594566	0.0206033	-0.011034	-0.0227097	-0.0233798	-0.0289063
HG02700	2	-0.0666152	0.0748575	-0.0314924	0.0111588	0.0521188	0.0178696	0.00101564	-0.0132566	-0.0204376	-0.0181381
HG02724	1	0.0303709	0.0411266	0.130221	0.076858	-0.0320053	0.0406879	-0.0312006	0.0250905	0.0182375	-0.00501852
HG02725	2	0.0256267	0.0467393	0.136241	0.0793085	-0.0138829	0.0436243	-0.0295827	0.021037	0.00869575	0.00578353
HG02727	1	0.0295627	0.0402979	0.119915	0.0873286	-0.0195926	0.0366921	-0.0349624	0.0390948	0.024754	0.0166678
